카테고리,키워드,합계,상품수,경쟁도
DIY자재,만능풀바른실크벽지,890,4695,5.28
DIY자재,중문스윙도어,9060,2093,0.23
DIY자재,스텐경첩,1040,103729,99.74
DIY자재,사무실씽크대,2980,11029,3.7
DIY자재,패턴코일매트,1310,8257,6.3
DIY자재,원목손잡이,1390,97304,70.0
DIY자재,리바트씽크대,3840,19989,5.21
DIY자재,시트지벽지,3530,332433,94.17
DIY자재,강화유리손잡이,1270,70744,55.7
DIY자재,행거도어,3710,149100,40.19
DIY자재,유리창문시트지,2340,95759,40.92
DIY자재,베란다바닥재,1360,38437,28.26
DIY자재,한샘주방리모델링,7140,1217,0.17
DIY자재,상다리부품,2520,1634,0.65
DIY자재,합성목재데크,2970,531,0.18
DIY자재,합판가격,6110,149619,24.49
DIY자재,조절발,1110,24464,22.04
DIY자재,나무봉,2390,46181,19.32
DIY자재,싱크대하부장,4420,16535,3.74
DIY자재,그래픽스티커,1030,516921,501.87
DIY자재,미니씽크대,2550,50207,19.69
DIY자재,주물손잡이,1010,93920,92.99
DIY자재,하이그로시합판,1650,221,0.13
DIY자재,씽크대상판교체,3600,1468,0.41
DIY자재,슬라이딩레일,2100,27073,12.89
DIY자재,구조목,2900,281,0.1
DIY자재,합판재단,3400,5843,1.72
DIY자재,메쉬철망,1380,12323,8.93
DIY자재,아파트중문가격,4420,6787,1.54
DIY자재,책상높이기,1670,2423,1.45
DIY자재,오영민제작소,4200,66,0.02
DIY자재,탁자다리,1120,152852,136.47
DIY자재,폴딩도어가격,7390,47891,6.48
DIY자재,LG데코타일,2600,10091,3.88
DIY자재,벽데코타일,1820,26959,14.81
DIY자재,큐비클,8100,42969,5.3
DIY자재,도어손잡이,4340,467267,107.67
DIY자재,문손잡이커버,1170,21522,18.39
DIY자재,방음판,2060,7779,3.78
DIY자재,암막시트지,2510,20214,8.05
DIY자재,포인트타일,1950,65021,33.34
DIY자재,미닫이문레일,3400,7233,2.13
DIY자재,알루미늄몰딩,1740,109129,62.72
DIY자재,우드데코타일,3650,8813,2.41
DIY자재,하이홈테크,3640,2405,0.66
DIY자재,도배용품,2230,84245,37.78
DIY자재,도요우라싱크볼,2490,39,0.02
DVD,영화라라랜드,3870,1062,0.27
DVD,영화황비홍,90,163,0.0
DVD,전래동화DVD,20,584,29.2
DVD,빛의전사마스크맨,2700,64,0.02
DVD,빨간개클리포드DVD,20,156,7.8
DVD,천녀유혼,16760,289,0.02
DVD,영화DVD콜렉션,20,6791,339.55
DVD,결백,246800,363,0.0
